document_key	source_origin	source_locator	source_sha256	source_bytes	normalized_markdown_path	normalized_markdown_sha256	pages	visual_assets	structured_tables	content_elements	sections	vendor	family	category	layout	review_role	text_semantic_records	text_intent_records
102196_0100_01_2022_05_05_aarch64_external_debug_guide	external_input	102196_0100_01_2022-05-05_AArch64_External_Debug_Guide.pdf	303504a884d0aa11802920259eb674ee23619b96eaf5fd0c3fc3e1789db38379	798443	generated/source_ir/102196_0100_01_2022_05_05_aarch64_external_debug_guide/normalized/102196_0100_01_2022_05_05_aarch64_external_debug_guide.md	4623c936ef6d53d31d0663533e27a5035a11950b838d8fe11badc79b8ee05022	25	11	2	266	36	arm	coresight	methodology-guide	compact	prospective_holdout	18	20
102520_0101_01_2025_09_15_introducing_coresight_debug_and_trace	external_input	102520_0101_01_2025-09-15_Introducing_CoreSight_Debug_and_Trace.pdf	08a37c3535e2c62b98cc5feb10c23f153972fe204a839daba292ca35349df162	842031	generated/source_ir/102520_0101_01_2025_09_15_introducing_coresight_debug_and_trace/normalized/102520_0101_01_2025_09_15_introducing_coresight_debug_and_trace.md	4a92f0c207d20aece6d182f778775df905c0c07a2aab44c351cde7f4c3fec41d	32	25	4	250	42	arm	coresight	methodology-guide	compact	prospective_holdout	19	27
109242_0100_01_2023_09_04_arm_smmu_software_guide	external_input	109242_0100_01_2023-09-04_Arm_SMMU_Software_Guide.pdf	21cd873e75f01fb186691a10cf09b028a586f3ec002ada227a4fe3b1ef5a7f14	878792	generated/source_ir/109242_0100_01_2023_09_04_arm_smmu_software_guide/normalized/109242_0100_01_2023_09_04_arm_smmu_software_guide.md	647c16b30a205180f5d7eacc96eabf504327ac63e738f64dd1f0305277822d9a	52	29	3	600	87	arm	smmu	platform-system-ip	medium	prospective_holdout	89	123
198123_0302_03_2025_04_22_generic_interrupt_controller_overview_guide	external_input	198123_0302_03_2025-04-22_Generic_Interrupt_Controller_Overview_Guide.pdf	5358701e080664f2db98fb9d066a0c90a4deb2ba34ca35c81597332534707e97	1571128	generated/source_ir/198123_0302_03_2025_04_22_generic_interrupt_controller_overview_guide/normalized/198123_0302_03_2025_04_22_generic_interrupt_controller_overview_guide.md	835d665be0d9318990d42d4e5a46af7f56e1643a07fedf097115794940661c0b	45	44	13	430	58	arm	gic	methodology-guide	medium	reviewed_calibration	67	98
den0068_2018_07_23_coresight_base_system_architecture	external_input	DEN0068_2018-07-23_CoreSight_Base_System_Architecture.pdf	c4a5f342afbae7ef5229f5f8344dbd63ec6b5473cd319830dd148d9dc732a66d	165891	generated/source_ir/den0068_2018_07_23_coresight_base_system_architecture/normalized/den0068_2018_07_23_coresight_base_system_architecture.md	72bddbd5548a8eb067f9f205423df0905466f4a36045b4489eb65cd4142f70d1	29	19	12	404	55	arm	coresight	platform-system-ip	compact	reviewed_calibration	132	223
ihi0074_a_2017_03_09_arm_debug_interface_v6_architecture_specification	repository_owned	corpus/arm/debug/interfaces/adi/current/IHI0074_A_2017-03-09_Arm_Debug_Interface_v6_Architecture_Specification.pdf	0e370b75bf96d0e2625ba71474bec8ae8718b21d687f8e0424dcfe3740969c01	2925300	generated/source_ir/ihi0074_a_2017_03_09_arm_debug_interface_v6_architecture_specification/normalized/ihi0074_a_2017_03_09_arm_debug_interface_v6_architecture_specification.md	ae15d08dd5ee9f4b20220751eba9106805341d4fa6e832492faba1f5d2cc5511	400	386	210	6784	1321	arm	adi	cpu-isa	long	reviewed_calibration	852	1358
opencapi_25gbps_phy_mechanical_spec_v10	external_input	OpenCAPI-25Gbps_PHY_mechanical_spec_v10.pdf	0621543ade2c1f6369186a7f4de1cb1262e3097ca0e5f796bfc496c260ec7bf3	4494801	generated/source_ir/opencapi_25gbps_phy_mechanical_spec_v10/normalized/opencapi_25gbps_phy_mechanical_spec_v10.md	8ae4c140d2e69fb660d14bb29fbd6d90182e1e8135582a31254c9181d4a23da9	34	32	11	760	61	opencapi	opencapi-phy	physical-link	medium	prospective_holdout	41	56
opencapi_25gbps_phy_signaling_spec_1_0	external_input	OpenCAPI-25Gbps_PHY_Signaling_Spec_1.0.pdf	0e0c8afc1d89189f610dd8340ebb2206270958faa247c6b345c64ee5c8dece12	748724	generated/source_ir/opencapi_25gbps_phy_signaling_spec_1_0/normalized/opencapi_25gbps_phy_signaling_spec_1_0.md	7c2735a2ccc79a65f1379f34ebf9fe36d3be9a41c66c5390f74abdd74ecc750b	30	26	19	224	59	opencapi	opencapi-phy	physical-link	compact	reviewed_calibration	26	37
opencapi_3_0_certified_definition_v1_1	external_input	OpenCAPI-3.0-Certified_Definition_v1.1.pdf	3e7685205b51c3fde858ee6685ef36fe29254500ced1d28bbba7360f66639516	234448	generated/source_ir/opencapi_3_0_certified_definition_v1_1/normalized/opencapi_3_0_certified_definition_v1_1.md	86f88345df349e8a84685690c13487d66b4a9710ec54b0f96083786dbf05b0e1	15	8	5	151	31	opencapi	opencapi-conformance	methodology-guide	compact	prospective_holdout	12	16
opencapi_3_0_certified_test_resources_engineering_note_v1_0	external_input	OpenCAPI-3.0-Certified_Test_Resources_Engineering_Note_v1.0.pdf	b427a3029c46be2d6fa0e4d965d6bec2360c1d7a24ebdf387a1078c0af422902	185876	generated/source_ir/opencapi_3_0_certified_test_resources_engineering_note_v1_0/normalized/opencapi_3_0_certified_test_resources_engineering_note_v1_0.md	383aa17c371d0f9b2e25109d7c89475cc0e281678c6b60fc64fa9d5be92c9744	13	3	2	173	25	opencapi	opencapi-conformance	methodology-guide	compact	prospective_holdout	6	6
